date,time,lat,long
11/06/2016,20:30:00,40.714545402,-73.878542039
08/06/2016,19:00:00,40.854656251,-73.928019168
05/31/2016,22:18:00,40.794852885,-73.93477972
07/03/2016,09:50:00,40.762307706,-73.99585014899999
01/19/2016,08:00:00,40.765650543,-73.831067427
09/18/2016,14:00:00,40.813474015,-73.947286365
05/09/2016,21:50:00,40.677435201,-73.94561650899999
01/21/2016,05:05:00,40.68859449,-73.949534164
09/11/2016,12:30:00,40.596256343,-73.77912870600001
07/19/2016,14:00:00,40.827358704,-73.951622233
03/13/2016,19:00:00,40.764923235,-73.912503025
09/28/2016,17:45:00,40.592288468,-74.187825128
02/21/2016,19:00:00,40.727616094,-73.814754865
10/31/2016,20:30:00,40.789989944,-73.946882433
05/03/2016,22:20:00,40.67380937,-73.88299274
02/15/2016,00:25:00,40.753427425,-73.87834842699999
05/11/2016,23:20:00,40.823932548,-73.912949346
01/16/2016,11:30:00,40.872596365,-73.879551428
05/09/2016,00:35:00,40.750654795,-73.821194584
04/23/2016,09:40:00,40.765773603,-73.783241528
02/17/2016,06:15:00,40.749870892,-73.898905454
12/28/2016,16:20:00,40.730756731999996,-73.956047361
10/08/2016,06:30:00,40.819728665,-73.940478242
08/03/2016,13:00:00,40.829672202,-73.885233644
08/14/2016,22:00:00,40.662931079,-73.89062081899999
03/09/2016,22:30:00,40.818063875,-73.95541525899999
03/06/2016,03:40:00,40.761044468,-73.98701715
10/19/2016,12:00:00,40.759156934,-73.896444012
02/04/2016,18:00:00,40.593580726,-73.764219785
09/17/2016,07:53:00,40.795258198,-73.949359408
05/30/2016,05:00:00,40.747017481,-73.906752141
05/28/2016,04:35:00,40.703414406,-73.91777731399999
09/04/2016,01:00:00,40.721787845,-73.978979776
07/21/2016,07:30:00,40.823203828000004,-73.86341786
04/07/2016,18:00:00,40.69335546,-73.79975130300001
01/16/2016,00:30:00,40.841127338,-73.873493335
08/02/2016,12:30:00,40.833388611,-73.910046026
11/29/2016,06:40:00,40.606664855,-73.756149603
08/09/2016,22:15:00,40.800222029000004,-73.930848342
01/07/2016,07:15:00,40.671557033,-73.932254274
11/02/2016,02:20:00,40.688930879000004,-73.953146976
07/26/2016,06:40:00,40.796955705,-73.968258173
05/17/2016,14:00:00,40.679649876,-73.925388672
10/27/2016,00:10:00,40.853011321,-73.911056922
10/22/2016,23:00:00,40.686395734,-73.949095931
01/06/2016,20:35:00,40.672143711,-73.926629961
09/20/2016,18:09:00,40.674861244,-73.87573383600001
05/21/2016,05:30:00,40.739013586999995,-73.860400465
05/22/2016,02:00:00,40.627421139,-74.010791021
12/29/2016,00:30:00,40.828213098,-73.898074588
07/06/2016,03:30:00,40.663460155,-73.942762342
01/13/2016,19:00:00,40.821816960999996,-73.951243279
11/05/2016,03:20:00,40.714588858,-73.98205181
05/03/2016,18:45:00,40.508969347,-74.232873893
05/08/2016,23:50:00,40.865658464,-73.891310558
05/19/2016,05:30:00,40.805023549,-73.876260226
09/08/2016,05:18:00,40.649394708,-73.92622613399999
03/07/2016,21:52:00,40.812642366999995,-73.915095523
01/29/2016,02:00:00,40.884494151999995,-73.905600959
08/03/2016,04:15:00,40.61653421,-74.06443300699999
11/08/2016,05:50:00,40.672751986,-73.77959998600001
02/21/2016,16:03:00,40.797227879,-73.969923046
11/14/2016,07:30:00,40.684198464,-73.870297216
12/18/2016,17:30:00,40.655345114,-73.951512704
05/18/2016,21:43:00,40.819095837,-73.942852488
06/05/2016,08:00:00,40.785910044,-73.783764585
09/10/2016,16:10:00,40.766025962,-73.985243655
04/26/2016,17:30:00,40.738171372,-73.860752257
09/19/2016,07:45:00,40.861803596,-73.923962376
01/12/2016,05:00:00,40.639483032,-73.94544926399999
04/29/2016,18:15:00,40.672573954,-73.91018000300001
11/20/2016,23:10:00,40.834075293000005,-73.87520880699999
08/07/2016,09:00:00,40.642799536,-74.016303048
11/22/2016,19:54:00,40.824971352,-73.941011922
01/10/2016,17:20:00,40.66821679,-73.881560657
11/17/2016,04:05:00,40.623046414,-74.00279322
10/03/2016,11:50:00,40.850163959,-73.93392666300001
08/05/2016,14:15:00,40.6285156,-73.941383698
08/20/2016,00:50:00,40.597217933,-73.741405943
05/14/2016,16:15:00,40.667297692,-73.909163377
11/20/2016,20:30:00,40.723752741999995,-73.858166769
05/11/2016,04:20:00,40.739483654000004,-73.897665424
11/13/2016,07:00:00,40.595459682,-73.75964731
07/26/2016,18:00:00,40.672732353,-73.795732376
11/30/2016,15:50:00,40.640685773,-73.952842144
06/26/2016,10:00:00,40.747709736,-73.875431939
01/11/2016,03:00:00,40.755443005,-73.94342324600001
08/29/2016,00:05:00,40.663812833,-73.930279666
10/02/2016,14:35:00,40.689040888,-73.861428189
08/22/2016,17:00:00,40.666335224,-73.951533552
11/24/2016,20:15:00,40.773352009,-73.988144814
12/29/2016,21:20:00,40.687981122,-73.812755575
06/14/2016,15:20:00,40.596541834,-73.798565286
04/04/2016,21:00:00,40.791529414,-73.940593737
08/26/2016,23:05:00,40.753323109,-73.861330564
06/19/2016,21:30:00,40.648006257,-73.886313705
11/18/2016,04:00:00,40.669348839,-73.977886025
02/19/2016,03:30:00,40.807199186,-73.918353502
01/29/2016,22:30:00,40.653278967,-73.91486946399999
05/30/2016,09:56:00,40.669874185,-73.881121529
09/18/2016,18:00:00,40.83125348,-73.856145284
05/30/2016,18:30:00,40.657567016,-73.954888187
12/15/2016,23:30:00,40.808497274000004,-73.935398508
01/06/2016,08:15:00,40.671774068000005,-73.92805791800001
10/08/2016,20:00:00,40.681466257,-73.800428777
11/09/2016,23:00:00,40.646835893,-73.950592767
06/17/2016,19:50:00,40.610276487,-73.983502485
11/12/2016,13:36:00,40.682803207,-73.884923944
02/06/2016,10:58:00,40.831509327,-73.863400811
11/23/2016,12:40:00,40.678216522,-73.943661813
05/01/2016,22:40:00,40.676506161999995,-73.942920589
07/09/2016,02:00:00,40.69605839,-73.835722714
05/17/2016,11:40:00,40.81725838,-73.94040458100001
11/07/2016,11:20:00,40.70012194,-73.814870932
06/11/2016,02:40:00,40.56207524,-74.113283814
06/01/2016,20:00:00,40.575031251,-73.989882667
11/24/2016,23:00:00,40.601159958000004,-73.75670987699999
03/28/2016,01:06:00,40.637624716,-73.945249009
06/22/2016,02:00:00,40.575031251,-73.989882667
03/27/2016,10:00:00,40.651311318000005,-73.927406068
03/30/2016,08:30:00,40.736624485,-73.87365566
01/18/2016,10:00:00,40.903905084,-73.853488327
11/10/2016,18:20:00,40.681654562,-73.852487561
12/20/2016,20:50:00,40.748063480999996,-73.860764062
01/30/2016,05:00:00,40.676960141,-73.951262652
03/22/2016,19:30:00,40.657835861,-73.878767829
07/13/2016,12:45:00,40.76740891,-73.982380537
01/26/2016,11:50:00,40.741341373000004,-73.978392609
